User,Article,Message,Price,Currency,Date,Status,Platform
Mohammed675805,💎(200) شحن تصريح المستوي,2402042717,349,points,"4/21/2026, 12:23:15 AM",Pending,kick
LG_L3VI90K,💎 شحن 110 جوهرة ,d 1724962905,399,points,"4/21/2026, 12:23:15 AM",Pending,kick
Mohammed675805,💎(200) شحن تصريح المستوي,2402042717,349,points,"4/21/2026, 12:23:15 AM",Pending,kick
GHIMOUZ23,💎(200) شحن تصريح المستوي,2558622903 ممكن 110 عشان ميروحش تعبي عالفاضي,349,points,"4/21/2026, 12:23:15 AM",Pending,kick
YAHIA_2100,💎 شحن 110 جوهرة ,3253898875,399,points,"4/21/2026, 12:23:15 AM",Pending,kick
walid_prv_999_i,💎(200) شحن تصريح المستوي,8972331250,349,points,"4/21/2026, 12:23:15 AM",Pending,kick
yacineKINZO,💎 شحن 110 جوهرة ,9725238965,399,points,"4/21/2026, 12:23:15 AM",Delivered,kick
ZIADZcr,💎 شحن 110 جوهرة ,7087143437,399,points,"4/21/2026, 12:23:15 AM",Delivered,kick
ossamazya_di,8,12313832035,199,points,"4/21/2026, 12:21:15 AM",Pending,kick
kgkghh,8,9916778942,199,points,"4/21/2026, 12:19:45 AM",Pending,kick
iiiuh,8,8778953979,199,points,"4/21/2026, 12:19:15 AM",Pending,kick
0904294,8,!shop buy 8 9512013623,199,points,"4/21/2026, 12:14:15 AM",Pending,kick
WHITE444S,8,3713888471,199,points,"4/21/2026, 12:11:45 AM",Pending,kick
xz10xz,8,1817356621,199,points,"4/21/2026, 12:11:15 AM",Pending,kick
asdabdok,8,1253452001 عايز افتح اللعبه بكره اتفاجئ انك باعتلى طلب صداقه وشكرا.,199,points,"4/21/2026, 12:06:45 AM",Pending,kick
akza96,8,9231483677,199,points,"4/21/2026, 12:06:45 AM",Pending,kick
LG_3RABY_1,8,والله انت ماقصرتش مع حد ى تمساح شكرا على تعبك واتمنى انك تكون بخير دايما يا رب,199,points,"4/21/2026, 12:06:15 AM",Pending,kick
ALNIMR_FF,8,1816443938,199,points,"4/21/2026, 12:06:15 AM",Pending,kick
ZAMASU_TV,8,2912484653,199,points,"4/21/2026, 12:05:45 AM",Pending,kick
gihdyidrihcdugd,8,9578895297ارجك اقبلني,199,points,"4/21/2026, 12:05:45 AM",Pending,kick
xixgzjsjhf,💎(200) شحن تصريح المستوي,12679196959,349,points,"4/21/2026, 12:05:15 AM",Pending,kick
125Rimontada,💎(200) شحن تصريح المستوي,12327963192,349,points,"4/21/2026, 12:05:15 AM",Pending,kick
xixgzjsjhf,💎(200) شحن تصريح المستوي,12679196959,349,points,"4/21/2026, 12:05:15 AM",Pending,kick
xixgzjsjhf,💎(200) شحن تصريح المستوي,12679196959,349,points,"4/21/2026, 12:04:45 AM",Pending,kick
akza96,💎(200) شحن تصريح المستوي,9231483677,349,points,"4/21/2026, 12:04:45 AM",Pending,kick
ilyas_690,💎(200) شحن تصريح المستوي,11139953275,349,points,"4/21/2026, 12:04:45 AM",Pending,kick
farouk1457,💎 (450) شحن عضوية اسبوعية,4869997715,799,points,"4/21/2026, 12:04:45 AM",Pending,kick
gihdyidrihcdugd,💎(200) شحن تصريح المستوي,9578895297,349,points,"4/21/2026, 12:04:45 AM",Pending,kick
LG_LOVE_NICD,💎(200) شحن تصريح المستوي,9455349910,349,points,"4/21/2026, 12:04:45 AM",Pending,kick
Zakaria7BEN,💎 (450) شحن عضوية اسبوعية,13074939705,799,points,"4/21/2026, 12:04:45 AM",Delivered,kick
yasser_FCB,💎(200) شحن تصريح المستوي,2149783904,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
adam_10_naruto,💎(200) شحن تصريح المستوي,2100548160,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
Abdulrahman_Badawi,💎(200) شحن تصريح المستوي,10523180020,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
FRE_MAX,💎(200) شحن تصريح المستوي,11152250037,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
s2BH,💎(200) شحن تصريح المستوي,14696042429,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
amr989,💎(200) شحن تصريح المستوي,8790600255,349,points,"4/21/2026, 12:04:15 AM",Pending,kick
saif87123,💎 شحن 110 جوهرة ,d 3982148126,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
abdallah8734,💎 شحن 110 جوهرة ,d 1836950310,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
nordd2,💎 شحن 110 جوهرة ,11361109842,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
Ma_R_W_aN_1,💸 تحويل 50 جنيه كاش,01286359017,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
saif87123,💎 شحن 110 جوهرة ,d 3982148126,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
Yassin29928288,💎 شحن 110 جوهرة ,14950626942,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
juneyt200,💎 شحن 110 جوهرة ,9169519965,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
Ma_R_W_aN_1,💸 تحويل 50 جنيه كاش,01286359017,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
yaseer0_1,💎 شحن 110 جوهرة ,2050936060,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
F_a_d_y3,💸 تحويل 50 جنيه كاش,01016084731,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
9191086785,💎 شحن 110 جوهرة ,12566624534,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
xxvrc,💎 شحن 110 جوهرة ,5774152180,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
yossaf99,💎 شحن 110 جوهرة ,2347164958,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
Jawad88880,💎 شحن 110 جوهرة ,d 1907061248,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
WALlD689909,💎 شحن 110 جوهرة ,10018913730,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
massoud_16,💎 شحن 110 جوهرة ,6127288762,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
LG_L3VI90K,💎 شحن 110 جوهرة ,d 1724962905,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
MARSY737,💎 شحن 110 جوهرة ,8521255032,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
MHAMAD1T,💎 شحن 110 جوهرة ,14048775915,399,points,"4/21/2026, 12:04:15 AM",Pending,kick
RONALDOSff7,💎 شحن 110 جوهرة ,6211828952,399,points,"4/21/2026, 12:04:15 AM",Delivered,kick
anas_xo_ffg,💎 شحن 110 جوهرة ,4921432190,399,points,"4/21/2026, 12:03:45 AM",Pending,kick
fawazokab,💎 شحن 110 جوهرة ,8310799547,399,points,"4/21/2026, 12:03:45 AM",Pending,kick
aymanahil,💎 شحن 110 جوهرة ,d 10950647461,399,points,"4/21/2026, 12:03:45 AM",Pending,kick
HASSSANNNK,💎 شحن 110 جوهرة ,2376715987,399,points,"4/21/2026, 12:03:45 AM",Pending,kick
mojthhk,💸 تحويل 50 جنيه كاش,والله أكثر من شهرين مشحنت انا مابي خمسين جني انا بدي جواهررر ارجووك 7598641088,399,points,"4/21/2026, 12:02:15 AM",Pending,kick
Solok16,8,12508663254,199,points,"4/21/2026, 12:00:45 AM",Pending,kick
OrangeDog58640,8,12508663254,199,points,"4/21/2026, 12:00:45 AM",Pending,kick
Tgud66,8,5458468603,199,points,"4/20/2026, 11:59:45 PM",Pending,kick
denneme3023,8,11274322964,199,points,"4/20/2026, 11:59:45 PM",Pending,kick
Sniper150,8,يسطا معايا 230 مش عارفا عمل فيهم ايه + انا فوزتك قيم قبل كم يوم وليا هدية وانا البوياه باس 7201239322,199,points,"4/20/2026, 11:59:45 PM",Pending,kick
ROJ7AHMAD,8,7367277393,199,points,"4/20/2026, 11:59:45 PM",Pending,kick
ROJ7AHMAD,8,7367277393,199,points,"4/20/2026, 11:59:45 PM",Pending,kick
fgwubw,8,11485302112,199,points,"4/20/2026, 11:58:15 PM",Pending,kick
EssamC7,8,12928987023🥹🥹🥹🥹🥹🥹🥹🇪🇬🇪🇬,199,points,"4/20/2026, 11:56:45 PM",Pending,kick
mmkkllooss,💸 تحويل 50 جنيه كاش,9649213028 بدل لي اياهم 100 جوهره بمصر ما بقدر انزل الكاش لاني مو بمصر,399,points,"4/20/2026, 11:55:15 PM",Pending,kick
abudly,💸 تحويل 50 جنيه كاش,01095205894,399,points,"4/20/2026, 11:49:45 PM",Pending,kick
DOR_T9AWD,💎 ارسل لك البويا باس,2164897283,399,points,"4/20/2026, 11:48:45 PM",Pending,kick
Onlyfixa_ff,💎 ارسل لك البويا باس,10278793338,399,points,"4/20/2026, 11:48:45 PM",Pending,kick
souperpro,💎 ارسل لك البويا باس,10978728803,399,points,"4/20/2026, 11:48:45 PM",Pending,kick
hfyugc,💎 ارسل لك البويا باس,2878778432,399,points,"4/20/2026, 11:48:45 PM",Pending,kick
yassine12_34,💎 ارسل لك البويا باس,12475210294,399,points,"4/20/2026, 11:48:45 PM",Delivered,kick
ALNIMR_FF,💸 تحويل 50 جنيه كاش,01111775093,399,points,"4/20/2026, 11:47:45 PM",Pending,kick
ggmmoo77,8,7613350534,199,points,"4/20/2026, 11:43:15 PM",Pending,kick
wtjt,VIP شعار التاج المميز,Mohammad_muaviye,249,points,"4/20/2026, 11:43:15 PM",Pending,kick
RIB_LUFFY255,8,10902804196,199,points,"4/20/2026, 11:40:45 PM",Pending,kick
MONTASER1234,8,7173588303 💞💞💝,199,points,"4/20/2026, 11:37:45 PM",Pending,kick
Solok16,VIP شعار التاج المميز,تمساح عاوز رقصة المظلة بلييز 12508663254,249,points,"4/20/2026, 11:36:15 PM",Pending,kick
gdtjcd,VIP شعار التاج المميز,9906806241,249,points,"4/20/2026, 11:36:15 PM",Pending,kick
xz10xz,VIP شعار التاج المميز,1817356621,249,points,"4/20/2026, 11:33:45 PM",Pending,kick
denneme3023,VIP شعار التاج المميز,.,249,points,"4/20/2026, 11:32:15 PM",Pending,kick
lo1t24,💎(200) شحن تصريح المستوي,12863239122,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
ossamazya_di,💎(200) شحن تصريح المستوي,12313832035,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
dnvgj,💎(200) شحن تصريح المستوي,9725008833,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
ALKOOR0099,💎(200) شحن تصريح المستوي,8723087365,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
ligerr1251968156,💎(200) شحن تصريح المستوي,1251968156,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
denneme3023,💎(200) شحن تصريح المستوي,11274322964,349,points,"4/20/2026, 11:30:15 PM",Pending,kick
Anas99990,💎 شحن 110 جوهرة ,d 3982148126,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
amin_2113450392,💎 شحن 110 جوهرة ,2113450392,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
aziz14582,💎 شحن 110 جوهرة ,6587959997,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
ALK_LOVE,💎 شحن 110 جوهرة ,d 1836950310,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
ROJ7AHMAD,💎 شحن 110 جوهرة ,7367277393,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
tanjirosan01,💎 شحن 110 جوهرة ,10278793338,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
DHIAA23,💎 شحن 110 جوهرة ,1753619688,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
ibrahim_1177,💎 شحن 110 جوهرة ,8971902905,399,points,"4/20/2026, 11:29:45 PM",Pending,kick
MohamadsSa,💎(200) شحن تصريح المستوي,14422414294,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
MTAHA55,💎(200) شحن تصريح المستوي,13206126345,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
samo896,💎(200) شحن تصريح المستوي,1107867610,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
abdelli11,💎(200) شحن تصريح المستوي,2245774001,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
abdala1245,💎(200) شحن تصريح المستوي,11869370864,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
onlymarwan,💎(200) شحن تصريح المستوي,2682302611,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
LORD_AKAZA_2,💎(200) شحن تصريح المستوي,6546835725,349,points,"4/20/2026, 11:29:45 PM",Pending,kick
Mkrem0akrm,💎 (450) شحن عضوية اسبوعية,2050936060,799,points,"4/20/2026, 11:29:45 PM",Pending,kick
BRAHIM_ilove_faramayu,💎 (450) شحن عضوية اسبوعية,10324718802,799,points,"4/20/2026, 11:29:15 PM",Pending,kick
denneme3023,💎(200) شحن تصريح المستوي,mastra 11274322964,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
999Merouane,💎(200) شحن تصريح المستوي,1331303795,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
moaaz7101,💎(200) شحن تصريح المستوي,6651498838,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
Tamazo,💎(200) شحن تصريح المستوي,6545493146,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
567y,💎(200) شحن تصريح المستوي,9153188509,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
marco7776,💎(200) شحن تصريح المستوي,/7471066673,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
Abdelmajide_122,💎(200) شحن تصريح المستوي,3212124688,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
Anasff55742,💎(200) شحن تصريح المستوي,2388694168,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
dc_f,💎(200) شحن تصريح المستوي,12181550142,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
iggugufuf,💎(200) شحن تصريح المستوي,7973605267,349,points,"4/20/2026, 11:29:15 PM",Pending,kick
saimora,VIP شعار التاج المميز,انا,249,points,"4/20/2026, 11:26:15 PM",Pending,kick
Arans_xr,VIP شعار التاج المميز,أكتب إيه؟ 🙃,249,points,"4/20/2026, 11:23:15 PM",Pending,kick
tohdkjdbdbdbbf,VIP شعار التاج المميز,2418863596Id,249,points,"4/20/2026, 11:17:15 PM",Pending,kick
Hanaterki06,VIP شعار التاج المميز,gg,249,points,"4/20/2026, 11:11:45 PM",Pending,kick
MAGHOOL_1,VIP شعار التاج المميز,بالله عليك يا تمساح عايز بويا باس والنقاط مش كافية والتصفير بكرا ID 8428510566,249,points,"4/20/2026, 11:06:45 PM",Pending,kick
Mohamed_2014_14,8,9566728310,199,points,"4/20/2026, 11:04:45 PM",Pending,kick
yswbjjj,VIP شعار التاج المميز,أنا الآن إشتريت VIPدخلني الإشراف أنت قلت🫪🫪🫪🫪🫪🫪🫵🫵🫵🫵🫵🫵🫵🫵🫵🫵🫵🫵🫵🫵,249,points,"4/20/2026, 10:59:45 PM",Pending,kick
Ahmedff121212,8,9351531886,199,points,"4/20/2026, 10:59:45 PM",Pending,kick
Ahmadrim,VIP شعار التاج المميز,احلى مطور في الدنيا كلها,249,points,"4/20/2026, 10:57:15 PM",Delivered,kick
Tosf6,VIP شعار التاج المميز,000,249,points,"4/20/2026, 10:56:45 PM",Delivered,kick
Apoapdo55,VIP شعار التاج المميز,14167271520,249,points,"4/20/2026, 10:56:45 PM",Delivered,kick
diy4,VIP شعار التاج المميز,حبيب قلبي ينفع تخسم كل نقاطي و تديني بطاقة مستوى على الأيدي دا 14453228376,249,points,"4/20/2026, 10:56:15 PM",Delivered,kick
hgrjkreg,VIP شعار التاج المميز,9069933213,249,points,"4/20/2026, 10:55:45 PM",Delivered,kick
Aminir,VIP شعار التاج المميز,من فضلك اشحنلي واللهلأ حسابي صعيف 2201925799,249,points,"4/20/2026, 10:55:15 PM",Delivered,kick
mjidee,VIP شعار التاج المميز,.,249,points,"4/20/2026, 10:53:45 PM",Delivered,kick
RONALDOSff7,VIP شعار التاج المميز,o,249,points,"4/20/2026, 10:52:45 PM",Delivered,kick
44YASSER,💎 ارسل لك البويا باس,5291188059,399,points,"4/20/2026, 10:49:45 PM",Delivered,kick
ilyes_age,💎 ارسل لك البويا باس,!FFF 1241798644,399,points,"4/20/2026, 10:49:45 PM",Delivered,kick
oussamacr7,og,,199,points,"4/20/2026, 10:49:45 PM",Delivered,kick
LAKCNk,VIP شعار التاج المميز,8048871801,249,points,"4/20/2026, 10:49:15 PM",Delivered,kick
abdelli11,VIP شعار التاج المميز,2245774001,249,points,"4/20/2026, 10:48:45 PM",Delivered,kick
BT34RET,VIP شعار التاج المميز,8461077089,249,points,"4/20/2026, 10:48:15 PM",Delivered,kick
Alk_Jameel2012,og,,199,points,"4/20/2026, 10:46:15 PM",Delivered,kick
HOUSSAMGH20,og,,199,points,"4/20/2026, 10:42:15 PM",Delivered,kick
Mr_yaso7,og,,199,points,"4/20/2026, 10:41:45 PM",Delivered,kick
14665634157,VIP شعار التاج المميز,14665634157,249,points,"4/20/2026, 10:41:15 PM",Delivered,kick
adbox544,og,891792571,199,points,"4/20/2026, 10:33:45 PM",Delivered,kick
adbox544,VIP شعار التاج المميز,891792571,249,points,"4/20/2026, 10:33:15 PM",Delivered,kick
Mohammed_hawary,og,,199,points,"4/20/2026, 10:30:45 PM",Delivered,kick
Mohamed_2014_14,VIP شعار التاج المميز,H,249,points,"4/20/2026, 10:28:15 PM",Delivered,kick
Vortex_HQ,og,,199,points,"4/20/2026, 10:23:15 PM",Delivered,kick
Vortex_HQ,VIP شعار التاج المميز,يا تمساح عندي طلب قديم ممكن تشوف معك,249,points,"4/20/2026, 10:22:45 PM",Delivered,kick
Ziyadberquia2023,VIP شعار التاج المميز,ياتمساح انا قدمت للإشراف في الديس وقالتلي هات اليوزر تبعك وعطيتك اليوزر تبعي,249,points,"4/20/2026, 10:18:15 PM",Delivered,kick
283652,8,2173429873,199,points,"4/20/2026, 10:18:15 PM",Delivered,kick
zaki034668,og,,199,points,"4/20/2026, 10:16:45 PM",Delivered,kick
bazinedawd,8,12766262067,199,points,"4/20/2026, 10:16:45 PM",Delivered,kick
FIXAA_TOP_1,VIP شعار التاج المميز,بص انا بقالي كتير بشتري 50ج وترجع نقاطي وانا عارف الظروف اتمني تحول 01080228430,249,points,"4/20/2026, 10:16:45 PM",Delivered,kick
Yxixxkyydzjykfhv,VIP شعار التاج المميز,15085582770,249,points,"4/20/2026, 10:16:15 PM",Delivered,kick
matrexGG,8,9630956361,199,points,"4/20/2026, 10:16:15 PM",Delivered,kick
ziyadasaad,8,ممكن العب معك الادي 14816097609مش رح تندم,199,points,"4/20/2026, 10:16:15 PM",Delivered,kick
matrexGG,8,9630956361,199,points,"4/20/2026, 10:16:15 PM",Delivered,kick
p00z,VIP شعار التاج المميز,.,249,points,"4/20/2026, 10:13:45 PM",Delivered,kick
Yacineboudra,og,,199,points,"4/20/2026, 10:13:45 PM",Delivered,kick
Upkc,8,10174357973,199,points,"4/20/2026, 10:13:15 PM",Delivered,kick
mixo_56,VIP شعار التاج المميز,5781334271,249,points,"4/20/2026, 10:12:45 PM",Delivered,kick
agrifgu,8,8060378280,199,points,"4/20/2026, 10:11:45 PM",Delivered,kick
dz2sa,8,2580214232,199,points,"4/20/2026, 10:11:45 PM",Delivered,kick
12ASDAKCD,8,9140757486,199,points,"4/20/2026, 10:10:15 PM",Delivered,kick
Mohamed_Tarek2026,VIP شعار التاج المميز,1725839585,249,points,"4/20/2026, 10:05:15 PM",Delivered,kick
Alhbd,og,,199,points,"4/20/2026, 10:04:45 PM",Delivered,kick
hamo077,8,1895945061,199,points,"4/20/2026, 10:02:45 PM",Delivered,kick
mohammed2022020,💎(200) شحن تصريح المستوي,1263621367,349,points,"4/20/2026, 10:01:45 PM",Delivered,kick
iggugufuf,💎(200) شحن تصريح المستوي,7973605267,349,points,"4/20/2026, 10:01:45 PM",Delivered,kick
alialridaham,💎(200) شحن تصريح المستوي,12837536665,349,points,"4/20/2026, 10:01:15 PM",Delivered,kick
RAJAWI881,💎(200) شحن تصريح المستوي,14775519940 أريد المستوى عشرة,349,points,"4/20/2026, 10:01:15 PM",Delivered,kick
contban,💎(200) شحن تصريح المستوي,9409958635,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
ahmaddfh,💎(200) شحن تصريح المستوي,9921876321,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
kiki705,💎(200) شحن تصريح المستوي,5950731226,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
Ahhdll,💎(200) شحن تصريح المستوي,13526204874,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
Reda63854,💎(200) شحن تصريح المستوي,9077001913,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
mzzz15,💎(200) شحن تصريح المستوي,9708941394,349,points,"4/20/2026, 10:00:45 PM",Delivered,kick
ABDOZIZZ,💎(200) شحن تصريح المستوي,1882571946,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
MohamadsSa,💎(200) شحن تصريح المستوي,10022217386,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
Sarahmhamad,💎(200) شحن تصريح المستوي,14851323512,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
YASSIN_TV0,💎(200) شحن تصريح المستوي,11059028248,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
MISSY12345,8,13245230986,199,points,"4/20/2026, 10:00:15 PM",Delivered,kick
sodnde3938dndn,💎(200) شحن تصريح المستوي,3984899036,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
rafefbhjvk,og,,199,points,"4/20/2026, 10:00:15 PM",Delivered,kick
TOP_YOUNES,💎(200) شحن تصريح المستوي,7008413262,349,points,"4/20/2026, 10:00:15 PM",Delivered,kick
z0z76,8,8248455083,199,points,"4/20/2026, 9:57:45 PM",Delivered,kick
adamgfhhvvb,og,,199,points,"4/20/2026, 9:57:45 PM",Delivered,kick
Madara_YQ,og,,199,points,"4/20/2026, 9:56:45 PM",Delivered,kick
44YASSER,og,,199,points,"4/20/2026, 9:53:15 PM",Delivered,kick
bvhtfbhfv,8,8286882603,199,points,"4/20/2026, 9:52:45 PM",Delivered,kick
djsjdkb,🍄‍🟫 شحن 60 شدة ببجي,52132428075,399,points,"4/20/2026, 9:46:45 PM",Delivered,kick
28742296,8,7416829309,199,points,"4/20/2026, 9:46:15 PM",Delivered,kick
Adem_2024,8,5161403090 أنت أسطورة ولله مطبق,199,points,"4/20/2026, 9:45:45 PM",Delivered,kick
Hasa14,8,2046909016,199,points,"4/20/2026, 9:43:15 PM",Delivered,kick
ahmed178597,VIP شعار التاج المميز,انا اهقفل عشان انام ارجوك اعطيني شاره ال vip,249,points,"4/20/2026, 9:42:45 PM",Delivered,kick
mnbvccchh,8,2986220412,199,points,"4/20/2026, 9:37:45 PM",Delivered,kick
akjdfoe,VIP شعار التاج المميز,9411129052,249,points,"4/20/2026, 9:35:15 PM",Delivered,kick
said200532,💎 ارسل لك البويا باس,2982793762,399,points,"4/20/2026, 9:32:45 PM",Delivered,kick
hasnone,💎 ارسل لك البويا باس,3001325255,399,points,"4/20/2026, 9:32:15 PM",Delivered,kick
Arans_xr,8,14740052359,199,points,"4/20/2026, 9:29:45 PM",Delivered,kick
Solok16,8,يا تمساح اشحنلي جميع طلباتي القديم 12508663254,199,points,"4/20/2026, 9:23:15 PM",Delivered,kick
Gimi_7,8,12020156434,199,points,"4/20/2026, 9:19:45 PM",Delivered,kick
quduh,8,8771432555,199,points,"4/20/2026, 9:13:45 PM",Delivered,kick
UrbanXDrKik,🍄‍🟫 شحن 60 شدة ببجي,52014112871,399,points,"4/20/2026, 9:11:15 PM",Delivered,kick
ahamemailcom,🍄‍🟫 شحن 60 شدة ببجي,51618853249,399,points,"4/20/2026, 9:10:15 PM",Delivered,kick
Abdo1vv,VIP شعار التاج المميز,1,249,points,"4/20/2026, 9:03:45 PM",Delivered,kick
Belelsjaknal,og,,199,points,"4/20/2026, 9:01:15 PM",Delivered,kick
mekbelmekb,VIP شعار التاج المميز,mekbelmekb,249,points,"4/20/2026, 8:56:45 PM",Delivered,kick
Aref57,og,,199,points,"4/20/2026, 8:55:15 PM",Delivered,kick
super_boy0_0,8,8215105924,199,points,"4/20/2026, 8:50:45 PM",Delivered,kick
SKT_ABDOU_CONT1,8,2573240718,199,points,"4/20/2026, 8:50:45 PM",Delivered,kick
Seifddinne,8,6031453779 ممكن تلعب معي انا لاعب حبل اسطوري ممكن نلعب بكرة,199,points,"4/20/2026, 8:48:15 PM",Delivered,kick
MARS_YT,💎 ارسل لك البويا باس,2727958973,399,points,"4/20/2026, 8:47:45 PM",Delivered,kick
amir_2838,8,12613457655,199,points,"4/20/2026, 8:47:45 PM",Delivered,kick
yousssf18845,💎 ارسل لك البويا باس,6592186949,399,points,"4/20/2026, 8:46:45 PM",Delivered,kick
halakrx,VIP شعار التاج المميز,13594100781,249,points,"4/20/2026, 8:45:15 PM",Delivered,kick
ALNIMR_FF,og,,199,points,"4/20/2026, 8:44:15 PM",Delivered,kick
Sara2006iraqi,🍄‍🟫 شحن 60 شدة ببجي,51350324713,399,points,"4/20/2026, 8:39:15 PM",Delivered,kick
HazemHossam17,🍄‍🟫 شحن 60 شدة ببجي,510533806,399,points,"4/20/2026, 8:32:15 PM",Delivered,kick
spaidr_14,og,,99,points,"4/20/2026, 8:32:15 PM",Delivered,kick
he8fy,og,,99,points,"4/20/2026, 8:31:45 PM",Delivered,kick
